,State,Account length,Area code,International plan,Voice mail plan,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
617,47,107,408,2116,659,96.3,83,16.37,179.6,91,15.27,166.3,121,7.48,10.3,2,2.78,1,0
1425,55,91,510,2116,659,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3,0
215,43,131,408,2116,1674,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,0
1113,47,74,408,2116,1674,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,1
2364,51,125,408,2116,1674,106.1,95,18.04,157.6,113,13.4,192.5,69,8.66,8.1,3,2.19,1,0
1087,39,122,408,2116,659,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,0
1246,50,68,510,2116,1674,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,0
1158,53,48,510,2116,659,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,0
1780,42,27,510,2116,1674,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3,0
2360,51,111,415,2116,1674,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4,0
1891,41,81,510,217,1674,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,0
2087,43,160,415,2116,659,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,0
2167,56,147,415,217,1674,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,1
2337,50,33,510,2116,1674,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2,0
1143,75,90,415,2116,1674,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0
710,50,60,408,2116,1674,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0
553,45,100,510,2116,1674,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14.0,8,3.78,0,0
1157,41,41,408,2116,659,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,0
2130,33,119,408,2116,1674,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2,1
2587,43,56,510,2116,1674,164.3,92,27.93,233.7,107,19.86,187.3,104,8.43,11.8,1,3.19,2,0
1531,57,210,408,2116,1674,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,0
2694,53,111,510,2116,1674,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5,1
616,75,120,510,2116,1674,192.6,123,32.74,206.4,105,17.54,283.2,93,12.74,10.8,3,2.92,1,0
574,44,31,415,2116,1674,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7.0,5,1.89,1,0
1111,47,123,408,2116,1674,159.5,77,27.12,303.8,92,25.82,226.9,120,10.21,12.0,4,3.24,0,0
2758,60,148,408,2116,1674,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0
1227,40,168,415,2116,659,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,0
3121,38,94,415,2116,1674,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,8.4,5,2.27,3,0
2358,25,138,510,217,1674,196.2,129,33.35,176.5,86,15.0,232.4,108,10.46,15.2,1,4.1,0,1
3128,50,148,415,2116,659,158.7,91,26.98,160.5,127,13.64,218.3,88,9.82,9.9,3,2.67,1,0
2571,52,116,415,2116,1674,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,0
1183,40,88,415,2116,1674,192.0,91,32.64,127.6,127,10.85,155.6,125,7.0,7.5,5,2.03,1,0
2994,43,103,415,2116,659,138.8,80,23.6,142.0,108,12.07,183.8,77,8.27,11.8,7,3.19,1,0
1011,50,96,415,2116,659,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,10.3,2,2.78,3,0
876,41,108,510,2116,1674,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,0
2842,56,66,415,217,1674,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0
3098,39,135,510,2116,1674,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1,0
81,45,140,408,2116,1674,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,0
3166,33,129,510,2116,659,211.0,99,35.87,155.1,89,13.18,234.8,96,10.57,11.4,5,3.08,1,0
2197,60,142,415,2116,1674,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,0
227,40,88,415,2116,1674,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,0
153,57,158,415,2116,1674,222.8,101,37.88,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,0
2051,40,23,510,2116,1674,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,1,1
3170,37,149,408,2116,1674,187.6,83,31.89,201.4,81,17.12,264.2,79,11.89,8.8,1,2.38,1,0
656,39,99,510,2116,1674,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3,0
3009,75,123,415,2116,1674,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2,0
233,56,118,415,2116,1674,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,0
2733,41,147,408,2116,1674,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2,0
3230,60,124,510,2116,1674,169.3,108,28.78,178.6,91,15.18,242.3,82,10.9,12.2,3,3.29,1,0
1068,42,124,415,2116,659,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,0
3145,40,78,408,2116,1674,163.6,88,27.81,283.4,93,24.09,262.1,108,11.79,8.6,9,2.32,0,0
3135,51,51,415,2116,1674,180.5,88,30.69,134.7,102,11.45,170.7,97,7.68,10.0,3,2.7,2,0
2359,53,29,510,2116,1674,195.6,71,33.25,126.4,74,10.74,148.6,87,6.69,14.2,4,3.83,1,0
837,60,38,415,2116,1674,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,0
2318,56,162,408,2116,1674,177.1,131,30.11,114.7,122,9.75,153.6,88,6.91,6.5,6,1.76,3,0
678,47,95,510,2116,1674,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0
596,53,204,510,2116,1674,205.2,145,34.88,154.8,95,13.16,191.4,77,8.61,14.1,5,3.81,3,0
3137,55,107,408,2116,1674,86.8,95,14.76,108.1,85,9.19,204.3,87,9.19,13.2,3,3.56,1,0
665,75,159,415,2116,1674,169.8,114,28.87,197.7,105,16.8,193.7,82,8.72,11.6,4,3.13,1,0
1222,50,84,510,2116,659,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,0
1202,44,42,408,2116,1674,241.2,134,41.0,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,0
293,50,36,415,2116,1674,202.4,115,34.41,230.7,115,19.61,202.0,127,9.09,10.2,2,2.75,3,0
